joint_WHO_China_sample_id,strain,accession,from_market
S01,hCoV-19/Wuhan/IPBCAMS-WH-05/2020,EPI_ISL_403928,True
S02,hCoV-19/Wuhan/IPBCAMS-WH-01/2019,EPI_ISL_402123,True
S03,hCoV-19/Wuhan/WH01/2019,EPI_ISL_406798,True
S04,hCoV-19/Wuhan/WIV02/2019,EPI_ISL_402127,True
S04,hCoV-19/Wuhan/IME-WH02/2019,EPI_ISL_529214,True
S04,hCoV-19/Wuhan/HBCDC-HB-02/2019,EPI_ISL_412898,True
S04,hCoV-19/Wuhan/IVDC-HB-GX02/2019,EPI_ISL_434534,True
S05,hCoV-19/Wuhan/IPBCAMS-WH-04/2019,EPI_ISL_403929,True
S05,hCoV-19/Wuhan/IVDC-HB-04/2020,EPI_ISL_402120,True
S06,Wuhan-Hu-1,MN908947.3,True
S07,hCoV-19/Wuhan/WHU01/2020,EPI_ISL_406716,True
S08,hCoV-19/Wuhan/IME-WH04/2019,EPI_ISL_529216,True
S08,hCoV-19/Wuhan/WIV07/2019,EPI_ISL_402130,True
S09,hCoV-19/Wuhan/WH03/2020,EPI_ISL_406800,True
S09,hCoV-19/Wuhan/WHU02/2020,EPI_ISL_406717,True
S10,hCoV-19/Wuhan/HBCDC-HB-03/2019,EPI_ISL_412899,True
S10,hCoV-19/Wuhan/IPBCAMS-WH-02/2019,EPI_ISL_403931,True
S10,hCoV-19/Wuhan/WIV04/2019,EPI_ISL_402124,True
S10,hCoV-19/Wuhan/HBCDC-HB-01/2019,EPI_ISL_402132,True
S11,hCoV-19/Wuhan/IPBCAMS-WH-03/2019,EPI_ISL_403930,True
S11,hCoV-19/Wuhan/WIV05/2019,EPI_ISL_402128,True
S12,hCoV-19/Wuhan/WIV06/2019,EPI_ISL_402129,True
S12,hCoV-19/Wuhan/IME-WH03/2019,EPI_ISL_529215,True
S13,hCoV-19/Wuhan/IME-WH01/2019,EPI_ISL_529213,False
